id,customer_id,date,product_category,rating,review_text
1,C001,2025-01-05,Electronics,2,"The battery life on this laptop is terrible. Barely lasts 3 hours on a full charge. Very disappointed with the performance."
2,C002,2025-01-06,Electronics,4,"Great phone for the price. Camera quality is impressive and the screen is vibrant. Battery could be better though."
3,C003,2025-01-08,Home & Kitchen,5,"This blender is amazing! It handles ice and frozen fruit without any issues. Easy to clean too."
4,C004,2025-01-10,Electronics,1,"Product arrived damaged. The screen was cracked and the packaging looked re-sealed. Very poor quality control."
5,C005,2025-01-12,Clothing,3,"The fabric quality is okay but the sizing runs small. Ordered my usual size and it was too tight. Nice color though."
6,C006,2025-01-15,Home & Kitchen,5,"Love this coffee maker! Makes perfect coffee every morning. The programmable timer is a game changer."
7,C007,2025-01-18,Electronics,4,"Good quality headphones with excellent noise cancellation. Comfortable for long sessions. Sound quality is crisp."
8,C008,2025-01-20,Clothing,2,"Material feels cheap and started pilling after first wash. Expected better quality for the price point."
9,C009,2025-01-22,Electronics,1,"Absolute waste of money. The device stopped working after 3 days. Customer service was unhelpful and rude."
10,C010,2025-01-25,Home & Kitchen,4,"The air fryer works well and cooks food evenly. Gets hot on the outside though. Overall satisfied with purchase."
11,C011,2025-02-01,Electronics,5,"Best purchase I've made all year. The smartwatch tracks everything accurately and the battery lasts a full week."
12,C012,2025-02-03,Clothing,4,"Really comfortable sneakers. Great for daily walks and light jogging. True to size and well made."
13,C013,2025-02-05,Home & Kitchen,3,"The vacuum cleaner has good suction power but it's quite noisy. The cord could be longer too."
14,C014,2025-02-08,Electronics,2,"Firmware updates keep failing and the app is glitchy. Great hardware ruined by terrible software."
15,C015,2025-02-10,Clothing,1,"Ordered three items and two were the wrong size. Return process was a nightmare. Will not buy clothing again."
16,C016,2025-02-12,Home & Kitchen,5,"Finally found a mattress topper that actually works. Back pain is gone. Worth every penny!"
17,C017,2025-02-15,Electronics,3,"Decent tablet for basic browsing and streaming. Gets slow with multiple apps open. Acceptable for the price."
18,C018,2025-02-18,Home & Kitchen,1,"The cookware set started rusting after two weeks! Completely unsafe. Requested a refund immediately."
19,C019,2025-02-20,Electronics,4,"Wireless earbuds have great sound quality and fit securely. The case feels a bit flimsy though."
20,C020,2025-02-22,Clothing,5,"This winter jacket is incredibly warm and stylish. True to size and the material is high quality."
21,C021,2025-02-25,Electronics,3,"The monitor has good resolution and colors but there's noticeable backlight bleed in the corners."
22,C022,2025-02-28,Home & Kitchen,2,"The knife set arrived dull. Had to sharpen all of them before first use. Not the premium quality advertised."
23,C023,2025-03-02,Electronics,5,"Excellent noise-cancelling headphones. Battery life is incredible and the sound profile is well-balanced."
24,C024,2025-03-05,Clothing,4,"Love the design and fit of these jeans. Stretchy material makes them very comfortable. Slightly faded after first wash."
25,C025,2025-03-08,Home & Kitchen,1,"The food processor stopped working mid-use. Almost got injured. Dangerous product that should be recalled."
26,C026,2025-03-10,Electronics,4,"The external SSD is incredibly fast and compact. Transfers huge files in seconds. Only complaint is the short cable."
27,C027,2025-03-12,Clothing,3,"Looks good but the stitching came undone after wearing twice. Not great durability for the price."
28,C028,2025-03-15,Home & Kitchen,5,"This rice cooker makes perfect rice every single time. The keep-warm feature is fantastic. Highly recommend."
29,C029,2025-03-18,Electronics,2,"The speaker connects via Bluetooth but drops connection every 10 minutes. Unusable for music. Returning it."
30,C030,2025-03-20,Clothing,4,"Soft and breathable fabric. Great for workouts. The waistband stays in place during exercise."
31,C031,2025-03-22,Electronics,1,"The power adapter overheated and melted slightly. Fire hazard! Stay away from this product."
32,C032,2025-03-25,Home & Kitchen,4,"Good quality towels that are soft even after multiple washes. Absorbent and quick-drying."
33,C033,2025-03-28,Electronics,5,"Absolutely love this e-reader. The e-ink display is easy on the eyes and battery lasts for weeks."
34,C034,2025-03-30,Clothing,3,"Nice casual shirt but the color faded significantly after two washes. Looks old already."
35,C035,2025-04-02,Home & Kitchen,2,"The slow cooker doesn't cook evenly. One side was burnt while the other was undercooked. Inconsistent heat."
36,C036,2025-04-05,Electronics,4,"Great webcam with excellent video quality. Auto-focus works well. The microphone could be better."
37,C037,2025-04-08,Clothing,5,"Perfect fit and very elegant dress. Received many compliments at the event. Great quality material."
38,C038,2025-04-10,Home & Kitchen,3,"The blender works fine for smoothies but struggles with nuts and seeds. Motor seems underpowered."
39,C039,2025-04-12,Electronics,1,"Tablet screen developed dead pixels within a week. Replacement process takes too long. Frustrating experience."
40,C040,2025-04-15,Clothing,4,"Good quality activewear that holds up well to frequent washing. Keeps shape and color well."
41,C041,2025-04-18,Electronics,3,"Average keyboard with decent typing feel. Keys are a bit mushy and the RGB lighting is basic."
42,C042,2025-04-20,Home & Kitchen,5,"This stand mixer is a beast. Handles heavy dough without straining. Built to last a lifetime."
43,C043,2025-04-22,Electronics,1,"The streaming device keeps freezing and restarting. Latest update made things worse. Terrible product."
44,C044,2025-04-25,Clothing,3,"The shoes look stylish but are not comfortable for long walks. Arch support is inadequate."
45,C045,2025-04-28,Home & Kitchen,4,"Excellent set of storage containers. Airtight seal keeps food fresh. Stackable design saves space."
46,C046,2025-05-01,Electronics,5,"The portable charger is a lifesaver. Charges my phone three times over. Compact and powerful."
47,C047,2025-05-03,Clothing,2,"The zipper broke after three uses. Poor construction and cheap materials. Not worth the money."
48,C048,2025-05-05,Home & Kitchen,1,"The pressure cooker lid doesn't seal properly. Steam leaks from the side. Safety concern."
49,C049,2025-05-08,Electronics,4,"Reliable router with good range. Setup was easy through the app. Signal is stable throughout the house."
50,C050,2025-05-10,Clothing,5,"Best pair of running shoes I've ever owned. Lightweight, responsive, and great cushioning."
51,C051,2025-05-12,Home & Kitchen,3,"Decent set of pans but the nonstick coating is starting to peel after a month. Disappointing."
52,C052,2025-05-15,Electronics,3,"The fitness tracker is okay for basic step counting but heart rate monitoring is inaccurate."
53,C053,2025-05-18,Clothing,4,"This cashmere sweater is incredibly soft and warm. True to size. Hand wash only though."
54,C054,2025-05-20,Home & Kitchen,5,"The Instant Pot has revolutionized my cooking. So many functions in one appliance. Love it!"
55,C055,2025-05-22,Electronics,2,"The wireless charger is very slow even with fast charging supported phones. Overheats frequently."
56,C056,2025-05-25,Clothing,1,"The dress arrived with a tear in the seam. Quality inspection seems non-existent. Returning."
57,C057,2025-05-28,Home & Kitchen,4,"Great quality baking sheets. Even heat distribution and they clean up easily. Highly recommended."
58,C058,2025-06-01,Electronics,4,"Good gaming mouse with responsive clicks and comfortable grip. Software needs improvement."
59,C059,2025-06-03,Clothing,3,"The fabric is comfortable but the cut is awkward. Fits strangely around the shoulders."
60,C060,2025-06-05,Home & Kitchen,2,"The ice maker produces small, hollow ice cubes. Works slowly and takes up too much counter space."
61,C061,2025-06-08,Electronics,5,"This mechanical keyboard is a dream to type on. Solid build quality and satisfying key switches."
62,C062,2025-06-10,Clothing,4,"Quality denim jacket with nice detailing. Fits well and looks great. Slightly stiff initially."
63,C063,2025-06-12,Home & Kitchen,1,"The electric kettle stopped working after a month. The switch broke and water leaked. Poor manufacturing."
64,C064,2025-06-15,Electronics,3,"Decent budget tablet for kids. Pre-installed apps are annoying and storage fills up quickly."
65,C065,2025-06-18,Clothing,5,"These leggings are amazing! High waist stays put during yoga and the fabric is buttery soft."
66,C066,2025-06-20,Home & Kitchen,4,"The food scale is accurate and has a nice display. Batteries not included which was annoying."
67,C067,2025-06-22,Electronics,1,"The USB hub stopped recognizing devices after two weeks. Driver issues and poor build quality."
68,C068,2025-06-25,Clothing,2,"The wool sweater shrank two sizes after first wash despite following care instructions. Disappointed."
